permno,date,tsymbol,comnam,prc,ret,vol,shrout
11308,2009-12-31,KO,COCA COLA CO,57.0,-0.003497,1928924.0,2317181.0
11308,2010-01-29,KO,COCA COLA CO,54.25,-0.048246,1927039.0,2317181.0
11308,2010-02-26,KO,COCA COLA CO,52.72,-0.028203,2290196.0,2305124.0
11308,2010-03-31,KO,COCA COLA CO,55.0,0.051593,2678707.0,2305124.0
11308,2010-04-30,KO,COCA COLA CO,53.45,-0.028182,2219286.0,2307051.0
11308,2010-05-28,KO,COCA COLA CO,51.4,-0.038354,2645761.0,2307051.0
11308,2010-06-30,KO,COCA COLA CO,50.12,-0.016342,2423584.0,2307051.0
11308,2010-07-30,KO,COCA COLA CO,55.11,0.099561,1866834.0,2307051.0
11308,2010-08-31,KO,COCA COLA CO,55.8825,0.014017,1951418.0,2309462.0
11308,2010-09-30,KO,COCA COLA CO,58.52,0.055071,1740931.0,2309462.0
11308,2010-10-29,KO,COCA COLA CO,61.32,0.047847,1936493.0,2322034.0
11308,2010-11-30,KO,COCA COLA CO,63.17,0.037345,2202554.0,2322034.0
11308,2010-12-31,KO,COCA COLA CO,65.77,0.041159,2035970.0,2322034.0
11308,2011-01-31,KO,COCA COLA CO,62.85,-0.044397,1834220.0,2322034.0
11308,2011-02-28,KO,COCA COLA CO,63.92,0.017025,1575611.0,2294317.0
11308,2011-03-31,KO,COCA COLA CO,66.34,0.045213,2158086.0,2295128.0
11308,2011-04-29,KO,COCA COLA CO,67.46,0.016883,1519102.0,2295128.0
11308,2011-05-31,KO,COCA COLA CO,66.81,-0.009635,1393964.0,2289254.0
11308,2011-06-30,KO,COCA COLA CO,67.29,0.014219,1746400.0,2289254.0
11308,2011-07-29,KO,COCA COLA CO,68.01,0.010700,1627456.0,2289254.0
11308,2011-08-31,KO,COCA COLA CO,70.45,0.035877,3239729.0,2296096.0
11308,2011-09-30,KO,COCA COLA CO,67.56,-0.034351,2586360.0,2296096.0
11308,2011-10-31,KO,COCA COLA CO,68.32,0.011249,2032613.0,2271232.0
11308,2011-11-30,KO,COCA COLA CO,67.23,-0.009075,1692888.0,2271232.0
11308,2011-12-30,KO,COCA COLA CO,69.97,0.040756,1547905.0,2271232.0
11308,2012-01-31,KO,COCA COLA CO,67.53,-0.034872,1501279.0,2271232.0
11308,2012-02-29,KO,COCA COLA CO,69.86,0.034503,1438442.0,2263204.0
11308,2012-03-30,KO,COCA COLA CO,74.01,0.066705,2051340.0,2264574.0
11308,2012-04-30,KO,COCA COLA CO,76.32,0.031212,1457303.0,2257934.0
11308,2012-05-31,KO,COCA COLA CO,74.73,-0.020833,1677241.0,2255950.0
11308,2012-06-29,KO,COCA COLA CO,78.19,0.053125,1398036.0,2255950.0
11308,2012-07-31,KO,COCA COLA CO,80.8,0.033380,1445246.0,2250962.0
11308,2012-08-31,KO,COCA COLA CO,37.4,-0.074257,2384491.0,4501924.0
11308,2012-09-28,KO,COCA COLA CO,37.93,0.020989,4696192.0,4501924.0
11308,2012-10-31,KO,COCA COLA CO,37.18,-0.019773,2938444.0,4485162.0
11308,2012-11-30,KO,COCA COLA CO,37.92,0.026762,2614656.0,4485162.0
11308,2012-12-31,KO,COCA COLA CO,36.25,-0.044040,2696596.0,4485162.0
11308,2013-01-31,KO,COCA COLA CO,37.24,0.027310,3027909.0,4485162.0
11308,2013-02-28,KO,COCA COLA CO,38.72,0.039742,3249849.0,4456718.0
11308,2013-03-28,KO,COCA COLA CO,40.44,0.051653,2884872.0,4456718.0
11308,2013-04-30,KO,COCA COLA CO,42.33,0.046736,3178598.0,4453755.0
11308,2013-05-31,KO,COCA COLA CO,39.99,-0.055280,2882724.0,4453755.0
11308,2013-06-28,KO,COCA COLA CO,40.11,0.010002,3058447.0,4453755.0
11308,2013-07-31,KO,COCA COLA CO,40.08,-0.000748,2609599.0,4433154.0
11308,2013-08-30,KO,COCA COLA CO,38.18,-0.047405,2968333.0,4433154.0
11308,2013-09-30,KO,COCA COLA CO,37.88,-0.000524,3011107.0,4433154.0
11308,2013-10-31,KO,COCA COLA CO,39.57,0.044615,3790137.0,4415923.0
11308,2013-11-29,KO,COCA COLA CO,40.19,0.022744,2679675.0,4415923.0
